ID	Block	Row	Column	Name	spot_images	circles	squares	circle_qual	std_intensities2	intensities2	intensities
342	3	35	3	P052-0.25	"[[220 242 250 ... 300 376 358]
 [262  92 255 ... 170 200 202]
 [262 303 149 ... 278 154 206]
 ...
 [ 56  70  64 ...  36  10  22]
 [107  69 128 ...  45  88  23]
 [ 60  68  54 ...  57  43  61]]"	Circle(xy=(683, 6768), radius=54)	Rectangle(xy=(579, 6679), width=180, height=168, angle=0)	0.28525641025640974	544.5445158129623	492.411809732094	8868001
343	3	35	4	P061-1	"[[318 226 238 ... 245 299 192]
 [154 216 254 ... 330 274 211]
 [277 173 313 ... 217 351 400]
 ...
 [ 76  28  35 ... 361 243 352]
 [ 30  46  54 ... 219 318 340]
 [ 63  64  61 ... 248 114  97]]"	Circle(xy=(844, 6756), radius=50)	Rectangle(xy=(759, 6680), width=180, height=168, angle=0)	0.3506944444444437	4177.490347510985	6240.88476736775	65688430
344	3	35	5	P061-0.5	"[[ 241  272  254 ...  245  346  316]
 [ 322  245  300 ...  377  252  322]
 [ 413  234  246 ...  349  366  308]
 ...
 [ 110  256  342 ...  269  453 1275]
 [ 130  312  200 ...  254  316  349]
 [ 159  387  376 ...  177  455  917]]"	Circle(xy=(1024, 6784), radius=56)	Rectangle(xy=(940, 6680), width=180, height=168, angle=0)	0.34999999999999926	3984.166703010831	4289.055561198578	63291480
345	3	35	6	P061-0.25	"[[ 737 1025  941 ...  438  365  523]
 [ 517  909  423 ...  656  337  436]
 [ 541  300  244 ...  429  347  273]
 ...
 [ 417  403  287 ...  370  302  370]
 [ 316  311  360 ...  199  337  381]
 [ 301  421  264 ...  420  364  422]]"	Circle(xy=(1229, 6780), radius=62)	Rectangle(xy=(1120, 6681), width=180, height=168, angle=0)	0.2527777777777774	3750.7936207082953	4668.746289694055	69542820
346	3	35	7	LF-1	"[[469 633 566 ... 313 365 329]
 [754 601 754 ... 412 441 544]
 [238 534 374 ... 316 517 364]
 ...
 [398 214 455 ... 509 666 291]
 [495 342 344 ... 373 283 419]
 [383 393 347 ... 524 391 539]]"	Circle(xy=(1390, 6765), radius=20)	Rectangle(xy=(1300, 6681), width=180, height=168, angle=0)	0.0	338.91892026017393	1008.6515513126492	28054717
347	3	35	8	LF-0.5	"[[ 424  383  400 ...  573  658  887]
 [ 240  284  460 ...  793  879  663]
 [ 403  501  391 ...  856  938  850]
 ...
 [ 322  402  310 ... 1271  813  899]
 [ 506  404  423 ... 1182 1111 1101]
 [ 346  350  348 ...  596  829  714]]"	Circle(xy=(1570, 6766), radius=20)	Rectangle(xy=(1480, 6682), width=180, height=168, angle=0)	0.0	1130.6578336957884	1022.3062848050915	32979319
348	3	35	9	LF-0.25	"[[ 772  732  472 ...  887  790  857]
 [ 668  960  873 ...  936 1157 1118]
 [ 759  519  980 ...  676 1067  965]
 ...
 [ 839  777  921 ... 1410 1252  851]
 [ 770  727  740 ...  963 1636 1236]
 [ 514  901  569 ... 1498 1557 1074]]"	Circle(xy=(1750, 6766), radius=20)	Rectangle(xy=(1660, 6682), width=180, height=168, angle=0)	0.0	433.6670441095785	1118.3532219570407	32817405
349	3	35	10		"[[ 941  967 1403 ... 1210 1605 1554]
 [ 936  990 1080 ... 1271 1353 1473]
 [ 999 1093  793 ... 1625 1431 1504]
 ...
 [3385 1053 1325 ... 3051 3368 3383]
 [1413 1279 1159 ... 3550 3699 3572]
 [1151 1349 1166 ... 3553 2894 3610]]"	Circle(xy=(1930, 6767), radius=20)	Rectangle(xy=(1840, 6683), width=180, height=168, angle=0)	0.0	349.7707403510412	1301.686555290374	44259283
350	3	36	1		"[[ 271  281  307 ...  365  233  143]
 [ 187  314  116 ...  315  186  218]
 [ 306  284  598 ...  555  173  171]
 ...
 [ 310  206  157 ...  362  296  290]
 [ 155  215  341 ...  727  518  355]
 [ 193  393  282 ...  440  471 1281]]"	Circle(xy=(315, 6996), radius=22)	Rectangle(xy=(218, 6847), width=180, height=168, angle=0)	0.2109375	5611.875446976214	902.978097193703	24978433
351	3	36	2		"[[ 151  186  392 ...   25   58   89]
 [ 267  127  223 ...   36    8   59]
 [ 157  120  160 ...   38  113   49]
 ...
 [ 601  486  431 ...  207  213  192]
 [1616  585  503 ...  206  194  145]
 [ 351  452  412 ...  192  107  152]]"	Circle(xy=(419, 6983), radius=32)	Rectangle(xy=(398, 6847), width=180, height=168, angle=0)	0.21195652173913032	2221.603102583561	206.01186736474693	25068742
352	3	36	3		"[[   96    79    98 ...    70    49    62]
 [   81   120    62 ...    34    38    28]
 [   27    53    26 ...    47    87    60]
 ...
 [  258   198   131 ...   730  4711 11013]
 [  211   230    92 ...  2005  8406  7468]
 [  244   260   254 ...  2534  5107  2998]]"	Circle(xy=(672, 6954), radius=20)	Rectangle(xy=(578, 6847), width=180, height=168, angle=0)	0.18333333333333332	195.7313269059513	189.65075576770087	16028223
353	3	36	4		"[[ 32  33  87 ... 249 282 166]
 [ 41  63  64 ... 196 110 188]
 [ 38 108  37 ... 323 125 224]
 ...
 [800 506 367 ... 369 157 331]
 [519 344 398 ... 257 337 439]
 [603 571 550 ... 208 202 121]]"	Circle(xy=(913, 7013), radius=20)	Rectangle(xy=(758, 6848), width=180, height=168, angle=0)	0.20833333333333331	2692.506029825968	1324.0110041265475	11842967
354	3	36	5		"[[ 166  191  183 ...  244  291  354]
 [ 197  245  206 ...  193  347  286]
 [ 346  178  190 ... 1653 1398  249]
 ...
 [ 311  249  259 ...  329  430  334]
 [ 165  292  326 ...  243  331  157]
 [ 499  283  224 ...  247  223  441]]"	Circle(xy=(1049, 6926), radius=34)	Rectangle(xy=(938, 6848), width=180, height=168, angle=0)	0.31500000000000017	2273.387083373813	401.58206896551724	24098145
355	3	36	6		"[[ 402  250  359 ...  415  496  350]
 [ 439  244  444 ...  427  308  247]
 [ 212  226  376 ...  369  299  345]
 ...
 [ 215  295  243 ...  498  888 1105]
 [ 271  386  422 ...  763  911  787]
 [ 326  556  359 ...  493  566  844]]"	Circle(xy=(1208, 6933), radius=20)	Rectangle(xy=(1118, 6849), width=180, height=168, angle=0)	0.0	589.0844203968254	460.36435958631665	19558065
356	3	36	7		"[[ 386  505  477 ...  679  649  730]
 [ 151  373  358 ...  624  927  452]
 [ 487  362  409 ...  480  602  727]
 ...
 [ 344  422 1254 ...  266  303  261]
 [ 200  701  597 ...  146  323  241]
 [ 159  431  338 ...  258  317  254]]"	Circle(xy=(1304, 6993), radius=20)	Rectangle(xy=(1298, 6849), width=180, height=168, angle=0)	0.11666666666666665	511.9473775072276	603.0781426953567	13480357
357	3	36	8		"[[ 669  993  773 ... 2351 1850 1445]
 [ 278  588  856 ... 1569 4347 2300]
 [ 739  637  662 ... 1262 9040 2112]
 ...
 [ 233  173  170 ...  211  296  187]
 [ 247  130  251 ...  174  142  153]
 [ 257  355  282 ...  180  125  185]]"	Circle(xy=(1510, 7010), radius=20)	Rectangle(xy=(1478, 6850), width=180, height=168, angle=0)	0.075	913.0816662407327	681.0347826086957	18263104
358	3	36	9		"[[ 1935  1590  1604 ...  1252  1149  1247]
 [ 2575  2086  1849 ...  1059  1341  1130]
 [ 2290  1607  1844 ...  1279  1001  1377]
 ...
 [ 4723  1465   572 ...   143   111   111]
 [  334   267   236 ...   203   120    99]
 [15004  1488   368 ...    34    88   274]]"	Circle(xy=(1699, 6880), radius=22)	Rectangle(xy=(1658, 6850), width=180, height=168, angle=0)	0.2109375	667.2394245808026	344.96572181938035	14131968
359	3	36	10		"[[1699 1444 1563 ... 3639 3023 3236]
 [1065 1067 1761 ... 2835 3177 3130]
 [1327 1261 1188 ... 2992 2927 3615]
 ...
 [ 116  154  457 ...  263   61  171]
 [ 260  167  155 ...  146  102  171]
 [ 146  180  145 ...   72  143  196]]"	Circle(xy=(1848, 6929), radius=20)	Rectangle(xy=(1838, 6851), width=180, height=168, angle=0)	0.15833333333333333	1475.0091911490927	1481.8052580331062	16782760
